network,siteId,siteName,status,startDate,stopDate,county,state,latitude,longitude,elevation,stateName,siteClass
NTN,PA72,Milford,A,1983-12-27,,Pike,PA,41.3273,-74.8199,212,Pennsylvania,R
NTN,PR20,"El Verde",A,1985-02-12,,"Rio Grande",PR,18.3206,-65.8200,380,"Puerto Rico"," "
NTN,SC03,"Savannah River",A,2011-12-13,,Barnwell,SC,33.2450,-81.6505,90,"South Carolina",I
NTN,SC05,"Cape Romain National Wildlife Refuge",A,2000-11-21,,Charleston,SC,32.9430,-79.6592,1,"South Carolina",R
NTN,SC06,"Santee National Wildlife Refuge",A,1984-07-19,,Clarendon,SC,33.5394,-80.4350,24,"South Carolina",R
NTN,SD04,"Wind Cave National Park-Elk Mountain",A,2002-11-05,,Custer,SD,43.5577,-103.4840,1292,"South Dakota",I
NTN,SD08,Cottonwood,A,1983-10-11,,Jackson,SD,43.9461,-101.8552,733,"South Dakota",I
NTN,SD99,"Huron Well Field",A,1983-11-29,,Beadle,SD,44.3550,-98.2917,398,"South Dakota",R
NTN,SK20,"Cactus Lake",A,2012-02-14,,,SK,52.0229,-109.8615,784,Saskatchewan,I
NTN,SK31,"Fox Valley",A,2016-06-14,,,SK,50.4606,-109.4622,718,Saskatchewan,I
NTN,TN00,"UT Forest Research Station",A,1980-03-11,,Anderson,TN,35.9980,-84.2194,310,Tennessee,S
NTN,TN04,Speedwell,A,1999-01-26,,Claiborne,TN,36.4698,-83.8272,384,Tennessee,R
NTN,TN11,"Great Smoky Mountains National Park-Elkmont",A,1980-08-12,,Sevier,TN,35.6645,-83.5903,640,Tennessee,R
NTN,TN14,"Hatchie National Wildlife Refuge",A,1984-10-02,,Haywood,TN,35.4988,-89.2611,117,Tennessee,R
NTN,TX03,Beeville,A,1984-02-07,,Bee,TX,28.4667,-97.7069,82,Texas,R
NTN,TX04,"Big Bend National Park - K-Bar",A,1980-04-10,,Brewster,TX,29.3025,-103.1781,1056,Texas,I
NTN,TX10,"Attwater Prairie Chicken National Wildlife Refuge",A,1984-07-03,,Colorado,TX,29.6614,-96.2594,54,Texas,R
NTN,TX16,Sonora,A,1984-06-26,,Edwards,TX,30.2613,-100.5551,696,Texas,I
NTN,TX22,"Guadalupe Mountains National Park Frijole Ranger Station",A,1984-06-05,,Culberson,TX,31.9069,-104.8050,1705,Texas,I
NTN,TX41,Alabama-Coushatta,A,2022-03-01,,Polk,TX,30.7015,-94.6740,105,Texas,I
NTN,TX43,Ca��nceta,A,2007-07-24,,Randall,TX,34.8800,-101.6650,1057,Texas,I
NTN,TX56,"L.B.J. National Grasslands",A,1983-09-20,,Wise,TX,33.3917,-97.6397,312,Texas,I
